tweets,likes,time,source,retweets,tweet_length,zitat
"Schweizer @fhambuechen? 🇨🇭😅

#BMGamTegernsee https://t.co/3BtQg5cryG",225,2022-07-08 13:35:00+00:00,Twitter Web App,3,68,0
"ℹ Bevor sich das Trainingslager am Tegernsee dem Ende neigt, findet am Samstag um 16:30 Uhr noch einmal eine öffentliche Einheit statt. 🏋️‍♂️

Wir freuen uns wieder auf euch! 💚

#BMGamTegernsee #dieFohlen https://t.co/qiBSMysKDw",146,2022-07-08 13:08:11+00:00,Twitter Web App,6,228,0
"VAR sagt: 👍

#BMGamTegernsee @stindl28 https://t.co/Uz8H2KhoQV",319,2022-07-08 12:54:53+00:00,Twitter Web App,15,62,1
"💪🔥

#BMGamTegernsee @jjscally_10 https://t.co/0zjeMR7N9q",209,2022-07-08 12:20:00+00:00,Twitter Web App,3,56,0
"Heute wieder Vollgas! ⚡

#BMGamTegernsee https://t.co/6KbPFo3vBi",184,2022-07-08 12:10:19+00:00,Twitter Web App,4,64,0
"Der Vorverkauf von Tagestickets für alle 17 Heimspiele der Fohlen in der Bundesliga-Saison 2022/23 startet für Vereinsmitglieder am morgigen Samstag um 10:00 Uhr.

🎫 https://t.co/ZBc5SluSBu",87,2022-07-08 10:13:50+00:00,Twitter for Advertisers,3,189,0
"Jünter 📸💚 

#BMGamTegernsee https://t.co/wu7hvA0meM",445,2022-07-08 09:24:42+00:00,Twitter Web App,15,51,0
"ℹ Das Testspiel gegen den @TSV1860 am Sonntag (14:00 Uhr) ist mit 2.500 Zuschauern ausverkauft.

Mit FohlenTV seid ihr dennoch live dabei! ☝
↪📺 https://t.co/hgrbVmALZz

#BMGamTegernsee https://t.co/wYAFA5XeRR",111,2022-07-08 08:50:03+00:00,Twitter Web App,5,208,0
"Keine Gnade mit den Jungs 🥶

#BMGamTegernsee https://t.co/BVwFg74NaS",247,2022-07-08 07:33:06+00:00,Twitter for iPhone,4,68,0
"Borussias U23 tritt am Samstag (15:00 Uhr) gegen den niederländischen Zweitligisten @VVVVenlo an. Ein „anderes Kaliber“, wie Cheftrainer Eugen Polanski findet. 🗞⤵",137,2022-07-07 18:00:00+00:00,Twitter for Advertisers,8,162,0
"Am Nachmittag sprachen Frank Niehage, CEO @flatexDEGIRO, und Borussias Geschäftsführer Stephan Schippers in einer Medienrunde über die Vertragsverlängerung mit dem Hauptsponsor der Fohlen und blickten auf die bisherige und künftige Partnerschaft.

#BMGamTegernsee",91,2022-07-07 17:25:00+00:00,Twitter for Advertisers,3,263,0
"Nico Elvedi über Cheftrainer Daniel Farke, einen neuen Abwehrpartner und seine Rolle in der Mannschaft. 🗞⤵

#BMGamTegernsee",192,2022-07-07 16:30:00+00:00,Twitter for Advertisers,3,123,0
"🚀🚀🚀

#BMGamTegernsee #DieFohlen https://t.co/VKNlhkzYRi https://t.co/cuettvldNs",133,2022-07-07 16:13:08+00:00,Twitter for iPhone,2,79,0
"Borussias Führungsriege hat sich mit Vertretern der Gemeinde Rottach-Egern sowie des Althoff Seehotel Überfahrt getroffen. Darüber hinaus wurde sich auch auf eine Verlängerung der Zusammenarbeit bis 2025 geeinigt. 🤝

#BMGamTegernsee",161,2022-07-07 15:00:01+00:00,Twitter for Advertisers,3,232,0
"Haben wir sogar auch 📸

#BMGamTegernsee https://t.co/5pOkwg2K0R https://t.co/idfNlOCCdA",169,2022-07-07 14:42:52+00:00,Twitter for iPhone,6,87,0
"Da isser 🤹

#BMGamTegernsee https://t.co/igJRl5k3M7 https://t.co/GFwvCnbX4X",161,2022-07-07 14:26:16+00:00,Twitter for iPhone,2,75,0
"📺 Das Testspiel am Sonntag (14:00) gegen den @TSV1860 wird exklusiv bei FohlenTV übertragen. Für alle Löwen-Fans bietet Borussia das ""FohlenTV für Löwen Ticket"" an.

▫ FohlenTV ➡ https://t.co/hgrbVmALZz
▫ Löwenticket ➡ https://t.co/X7E0qPKSRD

#BMGamTegernsee",91,2022-07-07 14:15:00+00:00,Twitter for Advertisers,3,259,0
"Zurück am Ball! ⚽🔙

Borussias Nationalspieler haben am Vormittag erstmals mit der Mannschaft trainiert. @bensebainiRams wurde indes positiv auf das Corona-Virus getestet.

🗞️➡ https://t.co/A3gcRgTY5p

#BMGamTegernsee https://t.co/B3bgDIMpqc",99,2022-07-07 14:00:00+00:00,Twitter Web App,4,240,0
"Et voilà 👇 @MarcusThuram 

#BMGamTegernsee https://t.co/FupEk4i5V2 https://t.co/ie1tMEnYwE",185,2022-07-07 13:24:16+00:00,Twitter for iPhone,2,90,0
"🥰

#BMGamTegernsee https://t.co/sqS3B6iRKE https://t.co/ySISYruv6x",228,2022-07-07 13:06:49+00:00,Twitter for iPhone,5,66,0
"Ist es @YannSommer1 oder doch Virgil van Dijk? 😄

#BMGamTegernsee https://t.co/byMFBqALey https://t.co/NXB3NjK8Ya",214,2022-07-07 12:43:07+00:00,Twitter for iPhone,6,113,0
"Auch ihm steht’s gut 😍

BMGamTegernsee https://t.co/r1mLwbLoxY https://t.co/fPzab81Xnx",159,2022-07-07 12:28:54+00:00,Twitter for iPhone,3,86,0
Hier ist er doch 🤗 https://t.co/JNrosO7wL7 https://t.co/yYZRXBwGgP,258,2022-07-07 12:09:44+00:00,Twitter for iPhone,7,66,0
Stevieeee 🤖 https://t.co/EcFgaxpUzt https://t.co/m96cL87tAM,169,2022-07-07 12:00:59+00:00,Twitter for iPhone,2,59,0
"Gut schaut er aus! 🤩📸

#BMGamTegernsee https://t.co/G3Qb3MVcHb https://t.co/0IFgN9pacQ",286,2022-07-07 11:49:57+00:00,Twitter Web App,2,86,0
"📸☝ Handzeichen, bitte: Wen wollt ihr heute sehen? Wir rufen euch auf.

#BMGamTegernsee https://t.co/Q7vJawFnGW",424,2022-07-07 09:40:00+00:00,Twitter Web App,5,110,1
