tweets
"🇯🇵メンヒェングラードバッハはようこそ、滉!
🇩🇪 Herzlich Willkommen in Mönchengladbach, Ko! 💚 https://t.co/Bi8uzZjgUS"
"Borussia trauert um Jordi Bongard. Unser U23-Spieler ist heute Nacht bei einem Verkehrsunfall tödlich verunglückt. Wir drücken seiner Familie und seinen Angehörigen unser tiefstes Mitgefühl aus und wünschen ihnen viel Kraft.

Jordi wird immer in unseren Gedanken &amp; Herzen sein! 💚 https://t.co/KsKRWd2LrN"
"🆕#⃣3⃣😍

Gratisflock bis zum 09.07. 👉 https://t.co/pvMtIqLdsy https://t.co/Wkz4r9lix2"
"@juventusfc @Deniszakaria8 Grazie di tutto e in bocca al lupo per il futuro, @Deniszakaria8. 💚 Trattalo bene, @juventusfc!

Vielen Dank für alles und viel Glück für die Zukunft, Denis. 💚 Passt gut auf ihn auf!"
"Max Eberl hat Borussia Mönchengladbach gebeten, seine Tätigkeit als Sportdirektor der Fohlen mit sofortiger Wirkung beenden zu können. https://t.co/FOwYGWpIoR"
📸 spot the camera 👀 https://t.co/F9mIO2LcpE
"Daniel Farke ist neuer Cheftrainer von Borussia Mönchengladbach. Der 45-Jährige unterschrieb heute einen bis 2025 laufenden Vertrag bei den Fohlen.

Herzlich willkommen bei Borussia 💚 https://t.co/0snDWr0cex"
"Auch heute fühlt es sich noch unwirklich an. 😔

Großen Respekt für diese offenen Worte. Wir hoffen, dass es dir bald wieder besser geht, Max! 🙏💚 https://t.co/U4pQYEMBju"
"Viel Erfolg auf deinem weiteren Weg, @Deniszakaria8! 💚

Denis Zakaria wechselt mit sofortiger Wirkung zu @juventusfc. Am Sonntagabend erzielten beide Vereine Einigung über den Transfer, heute Morgen absolvierte der Schweizer in Turin die sportmedizinischen Untersuchungen."
Guten Morgen! 😁 https://t.co/mFUtEe9tNo
"""Mama, ich bin Borusse!"" 😁 https://t.co/04mppl5HuX"
In Gedanken bei dir 💚 https://t.co/f9qb7AUZul
"ℹ Borussia und Cheftrainer Adi Hütter haben sich einvernehmlich darauf verständigt, nach dem Ende der Saison 2021/22 getrennte Wege zu gehen. Das ist das Ergebnis der in den letzten Wochen und Tagen geführten Gespräche und Analysen der abgelaufenen Saison ⤵"
"Wir haben mit euch mitgezittert. Glückwunsch, @Eintracht! Das habt ihr euch verdient 👏 #UELfinal  #SGERFC https://t.co/UIRbqDqQEZ"
True. https://t.co/XyoO9BooJN
Doch nochmal ins Büro. Weiß jemand was dieses Schild bedeutet? 🕵️‍♂️🏟 https://t.co/viqBhds97D
Borussia hat den japanischen Nationalspieler Ko Itakura vom englischen Meister @ManCity verpflichtet. Der 25-jährige Defensivspieler hat bei den Fohlen einen Vertrag bis zum 30. Juni 2026 unterschrieben ✍
"🇩🇿 Viel Erfolg im letzten Gruppenspiel. Wir glauben an dich und dein Team, @bensebainiRams! 🙌 #AFCON2021

Tout donner pour la qualification en huitième de finale. Bonne chance contre la Côte d'Ivoire!

لا تستلم أبدًا! بالتوفيق الليلة يا رامي أمام ساحل العاج https://t.co/taZ7Z9U8re"
📷 Noch ein paar Eindrücke des Tages. Morgen gibt's mehr Ko-ntent ✌ https://t.co/uwhX5Qmysq
"Hey, Coach! 👋 https://t.co/xkE6YWi9Fl"
"𝙇𝙤𝙤𝙠𝙞𝙣𝙜 𝙜𝙤𝙤𝙙, @USMNT! 🇺🇲✨ https://t.co/iAMLWwYS3R"
"Danke für deinen Einsatz, deine Leidenschaft und deinen Willen! Danke für die zurückliegenden 4,5 Jahre, @Deniszakaria8! 🙏⚫️⚪️🟢 https://t.co/HPdtRy6Dob"
..und @YannSommer1 spielt Tennis?🤔😜 https://t.co/O9u1DAAzk2
"Matthias Ginter spielt in der kommenden Saison für den @scfreiburg.

Alles Gute für deine Zukunft, @MatzeGinter!"
"🗯 Roland Virkus: „Er hatte sicherlich mehrere attraktive Optionen für einen Wechsel. Umso erfreuter sind wir darüber, dass er von unserem Weg überzeugt ist, denn er ist ein wichtiger Baustein in unseren Planungen.“ 🤝 https://t.co/zj9baojmup"
"Viel Erfolg beim Afrika-Cup, @bensebainiRams! 👊🇩🇿🔥  Bonne chance pour la Coupe d'Afrique, Ramy! https://t.co/fSp0jnZzmi"
"Bon anniversaire, @bensebainiRams! 💚
Alles Gute zum 2️⃣7️⃣. Geburtstag 🥳 Beschenke dich selbst mit einem Heimsieg heute! 😍 https://t.co/KscfOBcqW1"
"Mehrmals durften wir bereits zu Gast in der Ukraine sein, immer wurden wir herzlichst empfangen. Umso fassungsloser sind wir, dass die Menschen dort Krieg im eigenen Land erfahren müssen. Wir denken an die ukrainische Bevölkerung und an alle Opfer von Krieg und Gewalt. https://t.co/qH1zJBGNEe"
Die heutigen Trainingseinheiten der Profis und der U23 sowie die Pressekonferenz vor #BMGWOB wurden abgesagt.
"Yann Sommer ist Fußballer des Jahres 2021 in der Schweiz! 🏆🇨🇭👏

Herzlichen Glückwunsch, @YannSommer1! 💚 https://t.co/B1STBIoMQW"
"Mittelfeldspieler László Bénes verlässt Borussia nach sechs Jahren und schließt sich dem Zweitligisten @HSV an. 

Nur das Beste für deine Zukunft, Laci! 💚"
🤝 Borussia Mönchengladbach hat Marvin Friedrich von Union Berlin verpflichtet. Der 26 Jahre alte Innenverteidiger erhält einen bis Juni 2026 laufenden Vertrag im BORUSSIA-PARK.
Da isser!🤩📸 https://t.co/9lBD4VWCMp https://t.co/TAXM6IjtN7
"👋 „Liebe Borussia-Fans…“ 💌 Unser neuer Coach möchte sich euch kurz vorstellen! ▶

#fohlenfamilie #diefohlen #borussia https://t.co/uQkGEovTes"
"Glückwunsch, @LesVerts 🥳
Algerien siegt mit 3:0 👏 @bensebainiRams hat dabei 90. Minuten durchgespielt! https://t.co/amRyxUsj7O"
Debüt in ⚫⚪🟢 https://t.co/b6yI08kIE3
"Steht dir, Marvin! 😉 https://t.co/JBab5rRo9S"
Gemeinsam gegen Rassismus! https://t.co/PuhstLBX2K
"Heimsieg!!! 💚💚💚

#Bundesliga #BMGRBL https://t.co/4QvLsgZZqV"
"Schluss in Dortmund 😩

#Bundesliga #BVBBMG https://t.co/dECkzHTWDW"
"Hej, Oscar! 🇩🇰👋

Borussia hat den 18-jährigen Mittelfeldspieler Oscar Fraulo vom @fcmidtjylland verpflichtet."
"Überraschungsgast 😍

Zak hat gestern beim Training vorbeigeschaut. Schön dich zu sehen, @Deniszakaria8! 😌 https://t.co/5lQmyFqFkN"
"🇺🇦 Borussia empfängt am 11. Mai die ukrainische Nationalmannschaft im BORUSSIA-PARK. Für das Team aus der Ukraine ist dies das erste Spiel seit dem Ausbruch des Kriegs. Alle Einnahmen kommen wohltätigen Zwecken zu Gute.
 
#StandWithUkraine #BorussiaHilft #FohlenVerantwortung"
"Deal! 🤝👀

#SGEBMG https://t.co/YX7aov8Yn0"
"Bock auf Ko-Content? Wir haben ihn an seinem ersten Tag begleitet! 🎥

➡ https://t.co/nBxlcVvaNN https://t.co/0cz3zORioh"
"Hat heute sein 5⃣0⃣. @Bundesliga_DE-Spiel für Borussia gemacht: @bensebainiRams 🐎💚 Glückwunsch, Ramy! 🙌

#Bundesliga #BMGSGF https://t.co/yiTV0AnZa4"
"Ohne Worte.

#Bundesliga #BMGSCF https://t.co/tAxISbYNt3"
"Das war's für heute. Kommt gut nach Hause, liebe Borussen! 👋💚

Wir wünschen der @Eintracht viel Erfolg für das Finale der #UEL am 18. Mai! https://t.co/hmq2frtYEa"
"🖤🤍💚 𝐃𝐀𝐍𝐊𝐄, 𝐅𝐀𝐍𝐒! 🖤🤍💚

#FohlenFamilie https://t.co/HN6qA13yTF"
"Zum Ende von #VFBBMG hat es im Gästeblock Auseinandersetzungen zwischen Ordnern und Fans gegeben, bei denen es Verletzte gab. Die Bilder, die uns bisher vorliegen, sprechen nicht für ein angemessenes Vorgehen des Ordnungsdienstes. (1/2)"
"Borussia x @UFLgame

Demnächst erscheint die kostenlose Fußballsimulation @UFLgame von unserem neuen Premium-Partner @strikerz_inc und Borussia wird mit am Start sein!

Seid gespannt! 👉 https://t.co/qPU1TcEuFR https://t.co/vHViWVs2l1"
"Steht ihm, oder? 😎 https://t.co/Y2WcD3Auey"
"✍ Borussia hat den Vertrag mit Eigengewächs Jordan Beyer bis 2️⃣0️⃣2️⃣6️⃣ verlängert!

🎤 ""Es ist einfach schön, weiterhin bei meinem Herzensverein spielen zu dürfen. Bei dem Verein, bei dem ich groß geworden bin."" 🖤🤍💚

👉 https://t.co/Oe9hiE2R3Y https://t.co/WpyoYkXbmM"
"Danke für 6️⃣ Jahre, lieber Laci! 💚📸 https://t.co/mXjRz2PJEI"
"MANUUUUUUUUUUU 💚

2⃣1⃣🥳 Bon anniversaire! Happy Birthday! Herzlichen Glückwunsch zum Geburtstag, @kne_manu! https://t.co/yWz3Hwwftp"
"✍ Borges Sanches unterschreibt Profivertrag

Borussia bindet 18-jähriges Mittelfeld-Talent Yvandro Borges Sanches langfristig. 

🗞➡ https://t.co/vtoG4QjuLh https://t.co/PYMeJutnSG"
"Bei weiteren Spielern, deren Verträge zum Saisonende auslaufen, gibt es Klarheit: @Deniszakaria8 hat Borussia mitgeteilt, dass er den Verein im Sommer verlassen möchte. Auch @MatzeGinter wird in der nächsten Saison nicht mehr für #dieFohlen spielen.
➡️ https://t.co/oMLtYmACrd https://t.co/CLCRgEl3KF"
"SO VERDIENT! Yann Sommer ist euer #CichonPM 𝗦𝗽𝗶𝗲𝗹𝗲𝗿 𝗱𝗲𝗿 𝗦𝗮𝗶𝘀𝗼𝗻. 👑👑👑

Herzlichen Glückwunsch, Yann! 💚 https://t.co/kfeWJHDBKq"
"Viel Erfolg fürs Finale, Reds! 🔴
Good luck for the #UCLfinal, @LFC! 🙌

#LFCRMA https://t.co/om9BYjuViW"
"Das Spiel ist nach dem Becherwurf auf Schiedsrichter-Assistent Christian Gittelmann offiziell beim Stand von 2:0 für #dieFohlen abgebrochen. 

#Bundesliga #BOCBMG 0:2"
📲💚! https://t.co/E10wNTN0RX
@Eintracht Glückwunsch! 👏👏👏
https://t.co/LnmsR93IP6
"83': Da ist es passiert... Stuttgart dreht das Spiel.

#Bundesliga #VFBBMG 3:2"
👀 https://t.co/cCuRwhyEuB
"Einmal Borusse, immer Borusse! 💚👏

Alles Gute zum 3️⃣0️⃣. Geburtstag, @mterstegen1! Lass dich ordentlich feiern! 🎉 

#FohlenFamilie https://t.co/JExGS239JI"
"𝘾𝙖𝙥𝙩𝙖𝙞𝙣 𝘼𝙢𝙚𝙧𝙞𝙘𝙖! ⭐️

Joe Scally gab heute Nacht sein Debüt für die USA - und gewann 3:0 gegen Marokko! 👏👏

Weiter so, @jjscally_10! https://t.co/zSiwp78mb7"
Sommer-Zeit! 😍 (Sorry wir konnten nicht anders 🤷‍♂️🤐) https://t.co/VzIicd1C44
"Bon annif, Mams 🥳 Mamadou Doucouré feiert heute seinen 24. Geburtstag! 🎂 Lasst ihm ein paar Glückwünsche da 💚👇 https://t.co/CbJSsV36bc"
"Für @jjscally_10 ist heute nicht nur Silvester, er feiert zudem seinen 19. Geburtstag 🎂🎊🎁 Wir sagen 'Happy Birthday', Joe! 🥳 https://t.co/SVf0A63qOO"
"Heimsieg! 🏟💚

#Bundesliga #BMGBSC https://t.co/SvrDehRzc2"
"In einer kurzfristig angesetzten Pressekonferenz äußerten sich Borussias Präsident Rolf Königs, Vizepräsident Rainer Bonhof, Geschäftsführer Stephan Schippers und Max Eberl zur Entscheidung des Sportdirektors, Borussia Mönchengladbach mit sofortiger Wirkung zu verlassen."
"Chapeau, @YannSommer1!!
Bringt dem Mann ein Cape.. 🦸‍♂️🤯 https://t.co/B84oW7d2mv"
Dieser Moment 😍 https://t.co/aUbZMRIvvd
JAAAAAAAAAAAAAAAAAAAAAAAAA!
"Guten Morgen, Borussen! 🥐☕ https://t.co/9NmpKvVJs0"
"Gegen das Vergessen, für Toleranz!

Heute jährt sich zum 77. Mal der Tag, an dem die Überlebenden des Konzentrationslagers Auschwitz befreit wurden. Wir gedenken allen Opfern der grausamen Taten der Nationalsozialisten &amp; wenden uns gegen jede Form der Diskriminierung.

#NieWieder https://t.co/3i6jZfqR5j"
"Der erste Geburtstag seit 7 Jahren, den du nicht im VfL-Trikot feierst, aber du wirst auf ewig Borusse bleiben! Happy Birthday, @TraoreIbra16! Nur das Beste für dein neues Lebensjahr. 💚 https://t.co/F4vjYE5wSM"
Wenn du deine Freude über Ramys Rückkehr nicht zurückhalten kannst 😍😄 https://t.co/a3pYA83EtQ
"Gute Nachrichten aus dem Krankenhaus: Jonas Hofmann hat den Eingriff gut überstanden. Werd‘ schnell wieder gesund, Hoffi! 💚 https://t.co/a8Cg5FQYIF"
"🆕 Wie gefällt's euch?

➡ https://t.co/LTC9TlOAdO https://t.co/gkQvRLkvCr"
"Guten Morgen, Borussen! ☕️📰💚 https://t.co/rbM302TL5Y"
Borussia Mönchengladbach trauert um Siegfried Söllner. Borussias Vizepräsident ist heute Morgen im Alter von 79 Jahren nach kurzer schwerer Krankheit verstorben. In Siegfried Söllner verlieren wir einen guten Freund &amp; wertvollen Menschen. Unser Mitgefühl gilt seinen Angehörigen. https://t.co/SVP0jNqR0Q
"Zusammen für Frieden! 🤝

Unter großem Applaus läuft gerade diese Video-Botschaft von Wladimir @Klitschko im Stadion. 💙💛

#StandWithUkraine #StopWar https://t.co/jsCrL6d3AC"
"Herzlich willkommen bei Borussia, Marvin Friedrich! 💚 https://t.co/PUtVK6Xv4E https://t.co/szWD2TPgDO"
"Rocco Reitz kann krankheitsbedingt nicht mit ins Trainingslager an den Tegernsee reisen.

Gute Besserung, Rocco! 💚 https://t.co/XelmrXc05C"
"🥳 Alles Gute zum 25. Geburtstag, Breel! Lass dich kräftig feiern! 🎂 https://t.co/FEppRzlJgM"
😘 @stindl28 https://t.co/QSAnY9NoBs
"25': Höler. 0:5.

#Bundesliga #BMGSCF"
"Da wird geprügelt, getreten, das ist rohe Gewalt und kein deeskalierendes Einschreiten. Das muss aufgearbeitet werden. Beide Vereine stehen seit gestern im Austausch, die @PP_Stuttgart ermittelt. Wir warten auf eine lückenlose Aufklärung unserer Kollegen aus Stuttgart.“ (2/2)"
Das Sportgericht des Deutschen Fußball-Bundes (DFB) hat das am vergangenen Freitag (18. März 2022) abgebrochene #Bundesliga-Spiel beim @VfLBochum1848eV im Einzelrichterverfahren mit 2:0 Toren für Borussia gewertet. #BMGBOC
"Eine Legende macht Schluss! 🏁

Igor de Camargo schnürt heute Abend ein letztes Mal die Schuhe. Du wirst 𝐈𝐌𝐌𝐄𝐑 Borusse bleiben!! 💚 https://t.co/SQMcdHoCU6"
Wer grinst mehr? 😁 https://t.co/DfpEy7Ongs
"Unser Jüngster wird ein Jahr älter! 🥳 Herzlichen Glückwunsch zum 19. Geburtstag, Luca! 💚 https://t.co/Z5DegyEnH2"
Was für ein Abschluss!! 🖤🤍💚 https://t.co/flaFwMGJK2
"Verteidiger? Linksfuß? Einfach @bensebainiRams.

🗳 Wir suchen euer „Borussia-Tor des Jahres 2021“. Stimmt in der #FohlenApp bis zum 29.12. für euren Favoriten. https://t.co/fLcjfZbMwk"
